year,district_id,district_name,category,statistic,percentage
2021,SK0212,District of Galanta,Economic Activity,working (except pensioners) (%),42.95
2021,SK0213,District of Hlohovec,Economic Activity,working (except pensioners) (%),42.53
2021,SK0214,District of Piešťany,Economic Activity,working (except pensioners) (%),40.08
2021,SK0215,District of Senica,Economic Activity,working (except pensioners) (%),42.03
2021,SK0216,District of Skalica,Economic Activity,working (except pensioners) (%),42.54
2021,SK0217,District of Trnava,Economic Activity,working (except pensioners) (%),42.82
2021,SK0221,District of Bánovce nad Bebravou,Economic Activity,working (except pensioners) (%),43.16
2021,SK0222,District of Ilava,Economic Activity,working (except pensioners) (%),43.7
2021,SK0223,District of Myjava,Economic Activity,working (except pensioners) (%),40.84
2021,SK0224,District of Nové Mesto nad Váhom,Economic Activity,working (except pensioners) (%),42.66
2021,SK0225,District of Partizánske,Economic Activity,working (except pensioners) (%),40.94
2021,SK0226,District of Považská Bystrica,Economic Activity,working (except pensioners) (%),42.81
2021,SK0227,District of Prievidza,Economic Activity,working (except pensioners) (%),39.64
2021,SK0228,District of Púchov,Economic Activity,working (except pensioners) (%),43.87
2021,SK0229,District of Trenčín,Economic Activity,working (except pensioners) (%),43.42
2021,SK0231,District of Komárno,Economic Activity,working (except pensioners) (%),41.53
2021,SK0232,District of Levice,Economic Activity,working (except pensioners) (%),39.15
2021,SK0233,District of Nitra,Economic Activity,working (except pensioners) (%),42.6
2021,SK0234,District of Nové Zámky,Economic Activity,working (except pensioners) (%),41.27
2021,SK0235,District of Šaľa,Economic Activity,working (except pensioners) (%),42.42
2021,SK0236,District of Topoľčany,Economic Activity,working (except pensioners) (%),42.86
2021,SK0237,District of Zlaté Moravce,Economic Activity,working (except pensioners) (%),41.0
2021,SK0311,District of Bytča,Economic Activity,working (except pensioners) (%),41.49
2021,SK0312,District of Čadca,Economic Activity,working (except pensioners) (%),42.32
2021,SK0313,District of Dolný Kubín,Economic Activity,working (except pensioners) (%),41.13
2021,SK0314,District of Kysucké Nové Mesto,Economic Activity,working (except pensioners) (%),42.11
2021,SK0315,District of Liptovský Mikuláš,Economic Activity,working (except pensioners) (%),40.85
2021,SK0316,District of Martin,Economic Activity,working (except pensioners) (%),41.5
2021,SK0317,District of Námestovo,Economic Activity,working (except pensioners) (%),40.16
2021,SK0318,District of Ružomberok,Economic Activity,working (except pensioners) (%),40.66
2021,SK0319,District of Turčianske Teplice,Economic Activity,working (except pensioners) (%),41.04
2021,SK031A,District of Tvrdošín,Economic Activity,working (except pensioners) (%),41.14
2021,SK031B,District of Žilina,Economic Activity,working (except pensioners) (%),42.21
2021,SK0321,District of Banská Bystrica,Economic Activity,working (except pensioners) (%),44.18
2021,SK0322,District of Banská Štiavnica,Economic Activity,working (except pensioners) (%),37.86
2021,SK0323,District of Brezno,Economic Activity,working (except pensioners) (%),38.97
2021,SK0324,District of Detva,Economic Activity,working (except pensioners) (%),40.86
2021,SK0325,District of Krupina,Economic Activity,working (except pensioners) (%),39.58
2021,SK0326,District of Lučenec,Economic Activity,working (except pensioners) (%),34.76
2021,SK0327,District of Poltár,Economic Activity,working (except pensioners) (%),35.66
2021,SK0328,District of Revúca,Economic Activity,working (except pensioners) (%),31.17
2021,SK0329,District of Rimavská Sobota,Economic Activity,working (except pensioners) (%),30.92
2021,SK032A,District of Veľký Krtíš,Economic Activity,working (except pensioners) (%),34.88
2021,SK032B,District of Zvolen,Economic Activity,working (except pensioners) (%),42.35
2021,SK032C,District of Žarnovica,Economic Activity,working (except pensioners) (%),39.34
2021,SK032D,District of Žiar nad Hronom,Economic Activity,working (except pensioners) (%),39.86
2021,SK0411,District of Bardejov,Economic Activity,working (except pensioners) (%),36.54
2021,SK0412,District of Humenné,Economic Activity,working (except pensioners) (%),38.8
2021,SK0413,District of Kežmarok,Economic Activity,working (except pensioners) (%),32.78
2021,SK0414,District of Levoča,Economic Activity,working (except pensioners) (%),34.93
2021,SK0415,District of Medzilaborce,Economic Activity,working (except pensioners) (%),32.81
2021,SK0416,District of Poprad,Economic Activity,working (except pensioners) (%),39.07
2021,SK0417,District of Prešov,Economic Activity,working (except pensioners) (%),38.25
2021,SK0418,District of Sabinov,Economic Activity,working (except pensioners) (%),33.77
2021,SK0419,District of Snina,Economic Activity,working (except pensioners) (%),38.22
2021,SK041A,District of Stará Ľubovňa,Economic Activity,working (except pensioners) (%),36.54
2021,SK041B,District of Stropkov,Economic Activity,working (except pensioners) (%),37.12
2021,SK041C,District of Svidník,Economic Activity,working (except pensioners) (%),36.89
2021,SK041D,District of Vranov nad Topľou,Economic Activity,working (except pensioners) (%),33.71
2021,SK0421,District of Gelnica,Economic Activity,working (except pensioners) (%),30.8
2021,SK0422,District of Košice I,Economic Activity,working (except pensioners) (%),42.18
2021,SK0423,District of Košice II,Economic Activity,working (except pensioners) (%),38.67
2021,SK0424,District of Košice III,Economic Activity,working (except pensioners) (%),37.9
2021,SK0425,District of Košice IV,Economic Activity,working (except pensioners) (%),38.38
2021,SK0426,District of Košice - okolie,Economic Activity,working (except pensioners) (%),36.34
2021,SK0427,District of Michalovce,Economic Activity,working (except pensioners) (%),32.28
2021,SK0428,District of Rožňava,Economic Activity,working (except pensioners) (%),33.48
2021,SK0429,District of Sobrance,Economic Activity,working (except pensioners) (%),32.5
2021,SK042A,District of Spišská Nová Ves,Economic Activity,working (except pensioners) (%),32.46
2021,SK042B,District of Trebišov,Economic Activity,working (except pensioners) (%),32.11
2021,SK0101,District of Bratislava I,Economic Activity,working pensioner (%),8.65
2021,SK0102,District of Bratislava II,Economic Activity,working pensioner (%),6.61
2021,SK0103,District of Bratislava III,Economic Activity,working pensioner (%),6.85
2021,SK0104,District of Bratislava IV,Economic Activity,working pensioner (%),6.49
2021,SK0105,District of Bratislava V,Economic Activity,working pensioner (%),8.9
2021,SK0106,District of Malacky,Economic Activity,working pensioner (%),5.7
2021,SK0107,District of Pezinok,Economic Activity,working pensioner (%),6.0
2021,SK0108,District of Senec,Economic Activity,working pensioner (%),4.82
2021,SK0211,District of Dunajská Streda,Economic Activity,working pensioner (%),6.23
2021,SK0212,District of Galanta,Economic Activity,working pensioner (%),6.06
2021,SK0213,District of Hlohovec,Economic Activity,working pensioner (%),5.36
2021,SK0214,District of Piešťany,Economic Activity,working pensioner (%),7.78
2021,SK0215,District of Senica,Economic Activity,working pensioner (%),5.8
2021,SK0216,District of Skalica,Economic Activity,working pensioner (%),6.02
2021,SK0217,District of Trnava,Economic Activity,working pensioner (%),6.0
2021,SK0221,District of Bánovce nad Bebravou,Economic Activity,working pensioner (%),5.76
2021,SK0222,District of Ilava,Economic Activity,working pensioner (%),6.59
2021,SK0223,District of Myjava,Economic Activity,working pensioner (%),7.97
2021,SK0224,District of Nové Mesto nad Váhom,Economic Activity,working pensioner (%),6.35
2021,SK0225,District of Partizánske,Economic Activity,working pensioner (%),5.73
2021,SK0226,District of Považská Bystrica,Economic Activity,working pensioner (%),6.62
2021,SK0227,District of Prievidza,Economic Activity,working pensioner (%),7.02
2021,SK0228,District of Púchov,Economic Activity,working pensioner (%),5.93
